,NAME,TEAM,SALARY
0,"Stephen Curry, PG",Golden State Warriors,"$48,070,014"
1,"LeBron James, SF",Los Angeles Lakers,"$44,474,988"
2,"Kevin Durant, PF",Phoenix Suns,"$44,119,845"
3,"Bradley Beal, SG",Washington Wizards,"$43,279,250"
4,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$42,492,492"
5,"Damian Lillard, PG",Portland Trail Blazers,"$42,492,492"
6,"Kawhi Leonard, SF",LA Clippers,"$42,492,492"
7,"Paul George, F",LA Clippers,"$42,492,492"
8,"Klay Thompson, SG",Golden State Warriors,"$40,600,080"
9,"Kyrie Irving, PG",Dallas Mavericks,"$38,917,057"
10,"Rudy Gobert, C",Minnesota Timberwolves,"$38,172,414"
11,"Anthony Davis, PF",Los Angeles Lakers,"$37,980,720"
12,"Khris Middleton, SF",Milwaukee Bucks,"$37,948,276"
13,"Jimmy Butler, SF",Miami Heat,"$37,653,300"
14,"Tobias Harris, F",Philadelphia 76ers,"$37,633,050"
15,"Zach LaVine, SG",Chicago Bulls,"$37,096,500"
16,"Luka Doncic, PG",Dallas Mavericks,"$37,095,000"
17,"Trae Young, PG",Atlanta Hawks,"$37,095,000"
18,"Ben Simmons, PG",Brooklyn Nets,"$35,448,672"
19,"Pascal Siakam, PF",Toronto Raptors,"$35,448,672"
20,"Myles Turner, C",Indiana Pacers,"$35,096,500"
21,"Devin Booker, SG",Phoenix Suns,"$33,833,400"
22,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$33,833,400"
23,"Kristaps Porzingis, C",Washington Wizards,"$33,833,400"
24,"Jrue Holiday, PG",Milwaukee Bucks,"$33,665,040"
25,"Joel Embiid, C",Philadelphia 76ers,"$33,616,770"
26,"Andrew Wiggins, SF",Golden State Warriors,"$33,616,770"
27,"CJ McCollum, SG",New Orleans Pelicans,"$33,333,333"
28,"Nikola Jokic, C",Denver Nuggets,"$33,047,804"
29,"James Harden, SG",Philadelphia 76ers,"$33,000,000"
30,"Brandon Ingram, SF",New Orleans Pelicans,"$31,650,600"
31,"Jamal Murray, PG",Denver Nuggets,"$31,650,000"
32,"D'Angelo Russell, PG",Los Angeles Lakers,"$31,377,750"
33,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$30,913,750"
34,"Deandre Ayton, C",Phoenix Suns,"$30,913,750"
35,"Michael Porter Jr., SF",Denver Nuggets,"$30,913,750"
36,"Donovan Mitchell, SG",Cleveland Cavaliers,"$30,913,750"
37,"Bam Adebayo, C",Miami Heat,"$30,351,780"
38,"Gordon Hayward, SF",Charlotte Hornets,"$30,075,000"
39,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$28,946,605"
40,"Jaylen Brown, SG",Boston Celtics,"$28,741,071"
41,"Chris Paul, PG",Phoenix Suns,"$28,400,000"
42,"Kyle Lowry, PG",Miami Heat,"$28,333,334"
43,"De'Aaron Fox, PG",Sacramento Kings,"$28,103,550"
44,"Jayson Tatum, SF",Boston Celtics,"$28,103,500"
45,"Jalen Brunson, PG",New York Knicks,"$27,733,332"
46,"DeMar DeRozan, SF",Chicago Bulls,"$27,300,000"
47,"Al Horford, C",Boston Celtics,"$26,500,000"
48,"Draymond Green, PF",Golden State Warriors,"$25,806,468"
49,"Julius Randle, PF",New York Knicks,"$23,760,000"
50,"John Collins, PF",Atlanta Hawks,"$23,500,000"
51,"Buddy Hield, SG",Indiana Pacers,"$22,768,890"
52,"Mike Conley, PG",Minnesota Timberwolves,"$22,680,000"
53,"Malcolm Brogdon, PG",Boston Celtics,"$22,600,000"
54,"Anfernee Simons, SG",Portland Trail Blazers,"$22,321,429"
55,"Nikola Vucevic, C",Chicago Bulls,"$22,000,000"
56,"Terry Rozier, SG",Charlotte Hornets,"$21,486,283"
57,"Fred VanVleet, PG",Toronto Raptors,"$21,250,000"
