#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/ TOV,STL/ TOV
1,Jayson Tatum,BOS,74,2732,2225,727,1559,46.6,240,686,35.0,531,622,85.4,78,571,649,342,78,51,213,160,2209,1.61,0.37
2,Joel Embiid,PHI,66,2284,2183,728,1328,54.8,66,200,33.0,661,771,85.7,113,557,670,274,66,112,226,205,2369,1.21,0.29
3,Luka Dončić,DAL,66,2391,2138,719,1449,49.6,185,541,34.2,515,694,74.2,54,515,569,529,90,33,236,166,2214,2.24,0.38
4,Shai Gilgeous-Alexander,OKC,68,2416,2135,704,1381,51.0,58,168,34.5,669,739,90.5,59,270,329,371,112,65,192,192,2073,1.93,0.58
5,Giannis Antetokounmpo,MIL,63,2024,1959,707,1278,55.3,47,171,27.5,498,772,64.5,137,605,742,359,52,51,246,197,2072,1.46,0.21
6,Anthony Edwards,MIN,79,2841,1946,707,1541,45.9,213,578,36.9,319,422,75.6,47,411,458,350,125,58,259,186,1741,1.35,0.48
7,Julius Randle,NYK,77,2737,1936,658,1432,45.9,218,636,34.3,402,531,75.7,141,626,767,316,49,21,216,233,1970,1.46,0.23
8,Donovan Mitchell,CLE,68,2432,1922,679,1402,48.4,245,635,38.6,319,368,86.7,63,226,289,301,99,27,180,168,1686,1.67,0.55
9,Trae Young,ATL,73,2541,1914,597,1390,42.9,154,460,33.5,566,639,88.6,56,161,217,741,80,9,300,104,1795,2.47,0.27
10,Zach LaVine,CHI,77,2768,1913,673,1388,48.5,204,544,37.5,363,428,84.8,42,303,345,327,69,18,194,159,1698,1.69,0.36
11,Damian Lillard,POR,58,2107,1866,556,1202,46.3,244,658,37.1,510,558,91.4,44,233,277,425,50,18,191,109,1751,2.23,0.26
12,De'Aaron Fox,SAC,73,2435,1826,682,1331,51.2,119,367,32.4,343,440,78.0,40,266,306,447,83,23,181,172,1758,2.47,0.46
13,DeMar DeRozan,CHI,74,2682,1816,657,1303,50.4,46,142,32.4,456,523,87.2,34,309,343,377,83,36,153,186,1789,2.46,0.54
14,Jaylen Brown,BOS,67,2405,1784,679,1383,49.1,163,487,33.5,263,344,76.5,78,381,459,232,75,26,197,172,1594,1.18,0.38
15,Pascal Siakam,TOR,71,2652,1720,630,1313,48.0,93,287,32.4,367,474,77.4,131,425,556,415,65,36,169,228,1833,2.46,0.39
16,Lauri Markkanen,UTA,66,2272,1691,571,1145,49.9,200,511,39.1,349,399,87.5,130,440,570,123,42,38,127,137,1713,0.97,0.33
17,Nikola Jokić,DEN,69,2323,1690,646,1022,63.2,57,149,38.3,341,415,82.2,167,650,817,678,87,47,247,174,2622,2.75,0.35
18,Jalen Green,HOU,76,2602,1683,566,1359,41.6,187,554,33.8,364,463,78.6,43,241,284,281,59,18,200,131,1233,1.41,0.29
19,Jordan Poole,GSW,82,2458,1675,550,1278,43.0,214,637,33.6,361,415,87.0,32,193,225,369,63,21,252,214,1319,1.46,0.25
20,Mikal Bridges,BKN,83,2963,1671,593,1267,46.8,169,442,38.2,316,353,89.5,79,285,364,273,91,61,127,159,1622,2.15,0.72
21,Stephen Curry,GSW,56,1941,1648,559,1133,49.3,273,639,42.7,257,281,91.5,39,302,341,352,52,20,179,117,1636,1.97,0.29
22,Jalen Brunson,NYK,68,2379,1633,587,1195,49.1,134,322,41.6,325,392,82.9,40,201,241,421,61,15,142,152,1554,2.96,0.43
23,Kyrie Irving,DAL,60,2241,1623,594,1203,49.4,188,496,37.9,247,273,90.5,59,245,304,331,66,45,128,165,1606,2.59,0.52
24,Ja Morant,MEM,61,1948,1596,566,1214,46.6,92,300,30.7,372,497,74.8,61,296,357,493,66,16,206,100,1549,2.39,0.32
25,LeBron James,LAL,55,1954,1590,609,1219,50.0,121,377,32.1,251,327,76.8,65,392,457,375,50,32,178,88,1640,2.11,0.28
26,CJ McCollum,NOP,75,2649,1568,587,1344,43.7,211,543,38.9,183,238,76.9,55,273,328,429,70,38,183,153,1438,2.34,0.38
27,Bam Adebayo,MIA,75,2598,1529,602,1114,54.0,1,12,8.3,324,402,80.6,184,504,688,240,88,61,187,208,1829,1.28,0.47
28,Dejounte Murray,ATL,74,2693,1515,612,1319,46.4,133,387,34.4,158,190,83.2,53,336,389,448,112,19,160,106,1584,2.8,0.7
29,Domantas Sabonis,SAC,79,2736,1510,577,938,61.5,31,83,37.3,325,438,74.2,251,722,973,573,65,39,230,279,2456,2.49,0.28
